Customer ID,Birth Date,Education Level,Occupation,Gender,Marital Status,Home Owner Status,Number of Cars Owned,Number of Children At Home,Total Number of Children,Annual Income,Avg Monthly Spend,eBook Subscriber Flag,City,ZipCode,State,Age
11015,1979-02-27,Partial College,Skilled Manual,F,S,0,1,0,0,40011,39,0,Toledo,43601,Ohio,46
11016,1979-04-28,Partial College,Skilled Manual,M,M,1,1,0,0,46808,68,0,Boston,2101,Massachusetts,46
11019,1978-03-07,High School,Skilled Manual,M,S,0,2,0,0,49455,64,1,Detroit,48201,Michigan,47
11020,1978-09-20,High School,Skilled Manual,M,S,0,2,0,0,43857,64,0,Mesa,85201,Arizona,46
11023,1978-10-11,Partial College,Skilled Manual,M,M,1,1,0,0,50046,71,0,Bakersfield,93301,California,46
11024,1978-09-17,Partial College,Skilled Manual,M,M,1,2,0,0,91276,77,0,Oakland,94601,California,46
11036,1978-12-18,Partial College,Skilled Manual,F,M,1,2,0,0,84890,52,0,Lexington,40502,Kentucky,46
11037,1977-11-27,Partial High School,Clerical,F,S,0,2,0,0,48651,46,0,Bakersfield,93301,California,47
15127,1975-02-14,Bachelors,Professional,M,S,0,2,0,0,129497,73,1,Newark,7101,New Jersey,50
11040,1977-08-01,Partial College,Skilled Manual,M,M,1,2,0,0,56248,65,0,Atlanta,30301,Georgia,47
11041,1977-10-16,Partial College,Skilled Manual,F,M,1,2,0,0,78170,51,0,Plano,75023,Texas,47
11042,1977-06-13,Partial College,Skilled Manual,F,M,1,2,0,0,70623,55,0,Albuquerque,87101,New Mexico,48
11043,1976-02-24,Partial College,Skilled Manual,M,M,1,2,0,0,78150,77,0,Wichita,67201,Kansas,49
11049,1980-07-18,Partial High School,Clerical,F,S,1,2,0,0,48422,41,1,Fort Wayne,46801,Indiana,44
11053,1980-08-20,Partial College,Skilled Manual,F,M,0,2,0,0,91599,51,0,Miami,33101,Florida,44
11062,1975-09-02,High School,Skilled Manual,M,M,1,2,0,0,52145,71,0,Tampa,33601,Florida,49
11063,1975-04-07,High School,Skilled Manual,F,S,1,2,0,0,49609,40,0,Colorado Springs,80901,Colorado,50
11064,1975-12-07,High School,Skilled Manual,M,M,1,2,0,0,58306,76,0,Fresno,93701,California,49
11067,1976-09-25,Partial College,Professional,M,S,1,2,0,0,96049,70,1,Seattle,98101,Washington,48
11127,1975-10-21,High School,Skilled Manual,F,M,1,1,0,0,46078,46,0,Detroit,48201,Michigan,49
11129,1975-08-05,High School,Skilled Manual,F,S,1,1,0,0,32122,37,0,Seattle,98101,Washington,49
11130,1980-01-06,High School,Skilled Manual,F,M,1,2,0,0,34879,48,0,Toledo,43601,Ohio,45
11131,1980-03-12,High School,Skilled Manual,F,M,0,2,0,0,39266,44,0,Oakland,94601,California,45
11132,1980-10-26,High School,Skilled Manual,F,S,0,2,0,0,44139,40,0,Wichita,67201,Kansas,44
11133,1980-09-08,Partial High School,Clerical,F,S,0,2,0,0,37010,34,0,Atlanta,30301,Georgia,44
11135,1979-11-03,Partial High School,Clerical,M,S,0,2,0,0,64613,63,0,Boston,2101,Massachusetts,45
11136,1978-10-26,High School,Skilled Manual,F,S,0,2,0,0,38527,46,0,El Paso,79901,Texas,46
11137,1978-07-20,High School,Skilled Manual,F,M,1,2,0,0,42811,47,0,Colorado Springs,80901,Colorado,46
11138,1978-09-15,High School,Skilled Manual,F,M,0,2,0,0,48772,45,0,Fort Wayne,46801,Indiana,46
11140,1977-02-11,Partial High School,Clerical,M,S,0,2,0,0,64633,69,0,Newark,7101,New Jersey,48
11141,1977-06-21,High School,Skilled Manual,F,M,0,2,0,0,32916,43,0,Miami,33101,Florida,48
11142,1977-08-14,High School,Skilled Manual,M,S,0,2,0,0,63488,73,1,Minneapolis,55401,Minnesota,47
11143,1977-02-04,High School,Skilled Manual,M,M,1,2,0,0,43666,70,0,San Diego,92101,California,48
11144,1979-09-09,High School,Skilled Manual,M,S,0,2,0,0,54938,64,0,New York,10001,New York,45
11145,1979-12-08,High School,Skilled Manual,F,S,0,2,0,0,29691,37,0,Baltimore,21201,Maryland,45
11152,1976-01-10,High School,Skilled Manual,M,S,1,2,0,0,62553,72,1,Atlanta,30301,Georgia,49
11153,1976-06-23,High School,Skilled Manual,F,M,1,2,0,0,37229,42,0,Stockton,95201,California,49
11154,1976-08-21,Partial College,Skilled Manual,F,S,1,1,0,0,33375,38,0,Long Beach,90801,California,48
11155,1976-01-26,Partial College,Skilled Manual,M,S,0,1,0,0,60713,68,1,Louisville,40201,Kentucky,49
